Stock,Article_cnt,Negative_sim,Positive_sim,Score,Ranking
LG전자,2762,0.008561266367486105,0.012647338525755045,2773.2857313011386,1.0
한국항공우주,2597,0.011375037140295509,0.014046154911705147,2603.936892852351,2.0
LG디스플레이,2574,0.008915612519252117,0.015789983490940476,2591.6946308811257,3.0
LG,2568,0.009292313196861048,0.013019072839077708,2577.570318761212,4.0
삼성증권,2471,0.009083810329599516,0.013051294088463014,2480.8036523681517,5.0
대신증권,2468,0.010104750202998834,0.011556580099284843,2471.5831161840338,6.0
SKC,2454,0.010670508468060516,0.013863654637101097,2461.8359806988256,7.0
현대모비스,2428,0.009666671105248463,0.016792855693648277,2445.302376180635,8.0
삼성SDI,2436,0.007729042468513229,0.011246283938333532,2444.568000220482,9.0
SK아이이테크놀로지,2418,0.007215026368437287,0.012714941793498045,2431.298795497797,10.0
SK바이오사이언스,2398,0.006612907634576799,0.012117274681806837,2411.199472179258,11.0
크래프톤,2394,0.0074306914077612975,0.012596439118487995,2406.36680001948,12.0
카카오뱅크,2378,0.008681808733515171,0.0129265250876352,2388.093935490097,13.0
현대차,2336,0.008668977949868033,0.011890573806593198,2343.52564792131,14.0
LG화학,2318,0.008365601600182794,0.011315767676950514,2324.8384849659474,15.0
포스코인터내셔널,2308,0.008798763491460403,0.013567702268252144,2319.0067106968354,16.0
SK이노베이션,2261,0.007549221260377779,0.012581311933947487,2272.377557012941,17.0
SK하이닉스,2236,0.007767804153232326,0.013210179877390768,2248.1691521192183,18.0
삼성전자,2200,0.008306058843933364,0.013944225032552049,2212.403965614961,19.0
포스코케미칼,2196,0.0067951595111701395,0.011284175351312093,2205.857878784952,20.0
한국전력,2197,0.009060997293313248,0.01306185377221314,2205.789881684143,21.0
롯데케미칼,2148,0.008283234981207605,0.012770443707023021,2157.6385243430514,22.0
효성화학,2108,0.010005773042662458,0.013477265539067331,2115.317906182421,23.0
현대제철,2105,0.008819725325457536,0.012977768646190145,2113.752681190142,24.0
한국가스공사,2108,0.008582695536164295,0.010656635716032377,2112.371865899162,25.0
카카오,2060,0.007106500116898736,0.012605295076227988,2071.3275176162183,26.0
한전기술,2047,0.008826567451114141,0.01160920875127742,2052.696066741434,27.0
DL,2030,0.008202631766369727,0.015070943550378134,2043.9426729215372,28.0
코오롱글로벌,2022,0.009133429121679661,0.013700569815944032,2031.2347584838028,29.0
SK,2017,0.0073497664085564515,0.013135228884055189,2028.669277813081,30.0
SK가스,2002,0.008750577544084072,0.013090124843749188,2010.6877736939293,31.0
GS,1998,0.00926261167977876,0.013333440042297334,2006.1335150683121,32.0
한화투자증권,2000,0.007199028405869253,0.00987139170455385,2005.3447265973693,33.0
삼성물산,1997,0.008364953345973992,0.011406336913896201,2003.0736429851406,34.0
LG유플러스,1982,0.010692997474557833,0.01888963580369912,1998.245737168358,35.0
대상,1988,0.008219440529564538,0.012713421378137843,1996.9340339269638,36.0
두산인프라코어,1988,0.006861991166874258,0.011229679526387645,1996.6829644587126,37.0
삼성바이오로직스,1978,0.0074421763944797666,0.015801810264806742,1994.5353557955066,38.0
OCI,1981,0.011529156972624733,0.014575265845729341,1987.0343416776202,39.0
한화에어로스페이스,1968,0.008739909907500577,0.014685092347864359,1979.7001190426358,40.0
미래에셋증권,1970,0.008361105530731286,0.01024693911950075,1973.7150921698758,41.0
효성중공업,1962,0.009033673832239708,0.01307189026139566,1969.9229806340038,42.0
SK텔레콤,1949,0.010175028033258288,0.0162388175218167,1960.8183257132005,43.0
한국조선해양,1932,0.007824160054023645,0.012156823368012234,1940.370705522626,44.0
효성,1930,0.008698626788914265,0.01308793391299437,1938.4713627494746,45.0
두산,1908,0.0068284203449333674,0.012667146846955097,1919.1402901658573,46.0
신세계,1902,0.008433646279080111,0.014806289768654118,1914.12076791717,47.0
동서,1898,0.008491245832656768,0.011393632159239357,1903.508729247854,48.0
기아,1889,0.010782940187365685,0.016185468495087434,1899.2053759732862,49.0
한화,1890,0.008107819225595994,0.012673448495423916,1898.629039319975,50.0
두산퓨얼셀,1882,0.007787908533887105,0.014909764500653056,1895.4033329294534,51.0
키움증권,1885,0.00956547662145515,0.012194381380645427,1889.9554854710736,52.0
대우조선해양,1870,0.008533517026832266,0.013105089892473061,1878.5488412587483,53.0
DL건설,1858,0.008053507889830414,0.017827225431279937,1876.1595671920134,54.0
NH투자증권,1861,0.009203958532054706,0.011847226035772642,1865.9191208244192,55.0
한화솔루션,1857,0.00903266790167432,0.01338529165986233,1865.0828223189549,56.0
유안타증권,1828,0.011273987965539328,0.014932478975934724,1834.6877215670029,57.0
현대글로비스,1817,0.00948070663913031,0.015694470042752446,1828.2904081043814,58.0
이마트,1809,0.009755693567774022,0.016607120932085464,1821.3942321020395,59.0
한화시스템,1777,0.009796455637639546,0.014762975725535237,1785.8255061961906,60.0
LS,1747,0.008890768029667621,0.017506968976359352,1762.0525030538704,61.0
셀트리온,1731,0.008557789813065339,0.013958079461593019,1740.3479013816013,62.0
현대중공업지주,1717,0.009423263945111976,0.012837490542697026,1722.8622270680532,63.0
두산중공업,1697,0.010812573576764226,0.016094535964674285,1705.9634901722834,64.0
삼성생명,1679,0.014943314680602341,0.015326220781471821,1679.6428993433599,65.0
삼성중공업,1644,0.008022981073071766,0.012986110298944023,1652.159384447334,66.0
현대일렉트릭,1640,0.006920508446557186,0.009366867697642223,1644.0120291717794,67.0
한화생명,1633,0.009900849799553782,0.013376879409159529,1638.676356352486,68.0
DL이앤씨,1619,0.008751254940849558,0.01685576068310555,1632.1211947967124,69.0
LG이노텍,1618,0.009313496660712767,0.016664408568173136,1629.8937754662709,70.0
메리츠증권,1596,0.010151031464522151,0.011738700677784165,1598.533920064366,71.0
대우건설,1567,0.008096899050711134,0.013029875618137223,1574.729974281157,72.0
현대건설,1488,0.009359679069464676,0.014205837058959283,1495.2110830883678,73.0
삼성엔지니어링,1482,0.008091835054562825,0.012183838372252842,1488.0643489168167,74.0
GS건설,1470,0.007676813328539779,0.011248554923281561,1475.2504601442704,75.0
CJ,1450,0.008051235904510245,0.012390358320993363,1456.2917275039003,76.0
롯데렌탈,1440,0.011368537774422278,0.013983539426224826,1443.7656023785955,77.0
KT,1412,0.01264212110332742,0.018169197751898895,1419.8042322277831,78.0
S-Oil,1410,0.011464074423316551,0.014553539697026552,1414.356146035931,79.0
현대건설기계,1407,0.006159760717242436,0.008934340344084761,1410.9038335349671,80.0
HMM,1387,0.012200798400167426,0.013401026310578455,1388.66471611174,81.0
LG생활건강,1371,0.013247281648984938,0.018351651163011008,1377.9980906037297,82.0
씨에스윈드,1351,0.009905138373016438,0.01595892011351623,1359.178659131415,83.0
기업은행,1349,0.00897011653335438,0.015370459644938975,1357.6340628575276,84.0
금호석유,1322,0.009484595234870222,0.016497676935764913,1331.2712940085828,85.0
아모레퍼시픽,1294,0.009787485615381576,0.014729187054857071,1300.3945616626813,86.0
CJ제일제당,1286,0.008854371973441449,0.014496396651426664,1293.255643735889,87.0
오리온,1276,0.008036412858119204,0.014927744546386465,1284.793339234229,88.0
KB금융,1257,0.012458918896381514,0.021674310409417332,1268.583747131886,89.0
대한항공,1255,0.015559920991170645,0.01721165370540875,1257.0729245563687,90.0
삼성전기,1248,0.00931379924746317,0.01213890769128317,1251.5257353378875,91.0
POSCO,1242,0.012807422507388077,0.015282831816721135,1245.0744583621918,92.0
한미사이언스,1206,0.007516127887001653,0.016360156856481674,1216.6658989371929,93.0
엔씨소프트,1206,0.012149944125487432,0.0152832849141981,1209.778808991185,94.0
롯데지주,1197,0.010013878094935832,0.01410109421307072,1201.8923976934075,95.0
하이브,1164,0.009994859986004965,0.01620702353317622,1171.2309583689073,96.0
NAVER,1146,0.010240166679246999,0.017049103424908812,1153.8030415105284,97.0
한전KPS,1098,0.008173335614312906,0.0131897674872529,1103.508042196488,98.0
효성첨단소재,1060,0.009574435551641305,0.017114067581021616,1067.9920099511432,99.0
GS리테일,1056,0.014455505827947726,0.01735794434897777,1059.064975078208,100.0
넷마블,1044,0.008307506800506952,0.012769282234164,1048.6580935527381,101.0
현대로템,1044,0.009017833332512602,0.012641667762830074,1047.7832831452515,102.0
SK바이오팜,954,0.012915328192754936,0.015094261335458844,956.0787022181396,103.0
롯데하이마트,942,0.008555704940736998,0.013233536609782662,946.406517432241,104.0
현대미포조선,923,0.009746627565718332,0.014487725884692148,927.3760337484127,105.0
CJ대한통운,906,0.013996846287437022,0.019853526891345792,911.3061526271414,106.0
코웨이,897,0.010121678802265497,0.016427553063198524,902.6563692120569,107.0
하나금융지주,882,0.00703153126513111,0.009453957907913481,884.1365802989341,108.0
롯데정밀화학,876,0.012093446035447925,0.017217988136194195,880.4890988802537,109.0
NHN,866,0.010043557848816756,0.018943726694172807,873.7075462200784,110.0
솔루스첨단소재,858,0.009460306159242454,0.014082546666670921,861.9658823553737,111.0
한온시스템,816,0.00652715840343751,0.011185752251803429,819.8014125802665,112.0
LX인터내셔널,804,0.010924832680040599,0.01372326524486166,806.2499397821163,113.0
CJ CGV,799,0.008762205908971268,0.013383783504622607,802.6926404989254,114.0
KCC,784,0.008528124106825925,0.021139086039338045,793.8869941550895,115.0
KCC글라스,785,0.01090175746328241,0.011897943572030993,785.7820060953677,116.0
만도,774,0.01378713044742558,0.018466190214737454,777.6215922598993,117.0
HDC,757,0.009760729567462312,0.014436895164627908,760.5398573570544,118.0
일진하이솔루스,756,0.010756775429967048,0.01462649141455923,758.9255052843517,119.0
고려아연,726,0.01098577882292365,0.016380551302037926,729.9166048198371,120.0
SK디스커버리,714,0.013761560508669194,0.02496898237151074,722.0020992100689,121.0
LX하우시스,702,0.008652399685599915,0.016457125736898517,707.4789176880116,122.0
LG화학우,642,0.024204011029885036,0.11575429539662112,700.7752825634446,123.0
영원무역,690,0.0060087247189292495,0.013150357554261607,694.9277266563794,124.0
SK디앤디,683,0.013243986771957005,0.025536749469221385,691.3959569222316,125.0
삼성화재,666,0.012604454859900641,0.019488296354791743,670.5846384355974,126.0
맥쿼리인프라,642,0.011373761995394902,0.017924654654880703,646.2056730873899,127.0
대한전선,642,0.011046772330355522,0.01710494663977519,645.8893479066475,128.0
신한지주,642,0.01396291817311001,0.017097679019142963,644.0125164631532,129.0
현대백화점,634,0.010030822365528927,0.016379651495304216,638.0251576682775,130.0
농심,629,0.009697374037000375,0.020526129579185915,635.8112872360347,131.0
SGC에너지,632,0.007697272307780791,0.01136113596192474,634.3155618294189,132.0
진원생명과학,624,0.030203874825477685,0.039231344068655076,629.6331408077426,133.0
동아에스티,624,0.0031168827344486595,0.0070627658843720595,626.4622310855523,134.0
LG전자우,618,0.13926821123537797,0.14543085959048724,621.8085166834576,135.0
대성홀딩스,618,0.01931866707305687,0.025424530807768513,621.7734237880518,136.0
영진약품,618,0.019636383978669653,0.024878993252285906,621.2399325310948,137.0
동아쏘시오홀딩스,618,0.002718131716060789,0.0067873469078650155,620.514774988535,138.0
한국타이어앤테크놀로지,618,0.010607313760180672,0.014518133911016057,620.4168868532163,139.0
이연제약,606,0.02843413260798302,0.03284552459535983,608.6733035443503,140.0
일진머티리얼즈,600,0.012590516921952935,0.018618172927593147,603.6165936033841,141.0
삼화콘덴서,588,0.018489911653216198,0.03683249933947309,598.785441559519,142.0
롯데칠성,592,0.014266407189877664,0.0210780236842817,596.0324769646872,143.0
현대위아,577,0.01086092799229317,0.01606103452493201,580.0004614693325,144.0
SK렌터카,570,0.013576253588073477,0.01834873401794755,572.7203138450283,145.0
효성티앤씨,553,0.01062266976853821,0.014855869364199416,555.3409593764006,146.0
SK케미칼,552,0.01492734547730964,0.020631081881292063,555.1484624949983,147.0
강원랜드,546,0.019184482427765968,0.023093951825996543,548.134570291434,148.0
BGF리테일,543,0.013052560481899594,0.020501616393536592,547.0448373600188,149.0
KT&G,542,0.012021953372953803,0.020884974104179253,546.8037572363243,150.0
한진중공업,543,0.010034177001564112,0.01408429369256834,545.1992133632153,151.0
롯데제과,540,0.013002619754083615,0.018960049962192874,543.2170123123791,152.0
한국앤컴퍼니,528,0.015640141186822432,0.01889656688510041,529.7193927686907,153.0
롯데리츠,515,0.011219495018663851,0.016685715196606995,517.8151033916407,154.0
SBS,514,0.013578237572665249,0.016015097455318074,515.2525459796835,155.0
코오롱인더,499,0.011676383608592219,0.016592858473671954,501.45332095767486,156.0
HDC현대산업개발,492,0.007707427253929681,0.013989915582195374,495.09098425750676,157.0
롯데쇼핑,488,0.009906521954437154,0.014945164472557662,490.45885754884284,158.0
아시아나항공,474,0.015302861044240413,0.019331788489716593,475.9097116091557,159.0
두산밥캣,474,0.014373204876259196,0.017757038071091722,475.60393693435066,160.0
NICE,465,0.013327671924916863,0.016766099582535447,466.5988688607926,161.0
LX홀딩스,450,0.010567617692288568,0.014208721453112364,451.63849669237067,162.0
삼성전자우,438,0.011100541362793941,0.018138253002286362,441.08251769809766,163.0
더존비즈온,426,0.010339792621653606,0.021837871648603496,430.89818166548065,164.0
쌍용C&E,426,0.01368626032958621,0.01975349191116582,428.5846406537529,165.0
종근당,420,0.01259254409209852,0.0172067960184954,421.93798580908674,166.0
SPC삼립,408,0.01490785724449841,0.019995673054470805,410.0758288504687,167.0
영풍,408,0.019592647252745538,0.021862641127671615,408.9261575009698,168.0
에스디바이오센서,396,0.017091298654550686,0.025653651953458416,399.3906919063674,169.0
삼양식품,396,0.01432093754822545,0.020863748052704325,398.59095295977363,170.0
코스모신소재,390,0.012613310706286945,0.021042199615561138,393.287266674617,171.0
제주항공,388,0.011303899560484845,0.01979114023626551,391.2930493822029,172.0
우리금융지주,386,0.015835931418657488,0.021558949358996857,388.20908492497097,173.0
쿠쿠홈시스,384,0.027996006018944117,0.03490911380917245,386.65463339144765,174.0
풍산,384,0.011410955585554014,0.015180579760275835,385.4475356830932,175.0
한미약품,372,0.018391646807633312,0.04740993955788317,382.79480490309294,176.0
하이트진로,374,0.018654231299359284,0.025819310837771146,376.67973974736606,177.0
오뚜기,372,0.012796572195735928,0.023000068473036036,375.7957006151556,178.0
