,stockName,esgRating
0,삼성전자,5
1,SK하이닉스,4
2,NAVER,4
3,삼성바이오로직스,2
4,삼성전자우,4
5,카카오,4
6,LG화학,4
7,삼성SDI,4
8,현대차,2
9,셀트리온,2
10,기아,1
11,카카오뱅크,4
12,POSCO,4
13,현대모비스,4
14,삼성물산,4
15,LG전자,5
16,SK이노베이션,4
17,SK바이오사이언스,4
18,SK텔레콤,5
19,크래프톤,4
20,LG생활건강,5
21,KB금융,4
22,신한지주,6
23,SK,6
24,SK아이이테크놀로지,4
25,HMM,3
26,한국전력,3
27,LG,4
28,삼성생명,4
29,삼성전기,4
30,엔씨소프트,4
31,하나금융지주,4
32,삼성에스디에스,5
33,포스코케미칼,3
34,아모레퍼시픽,5
35,KT&G,4
36,대한항공,3
37,S-Oil,3
38,삼성화재,4
39,넷마블,4
40,두산중공업,4
41,하이브,4
42,고려아연,4
43,SK바이오팜,4
44,한온시스템,3
45,KT,4
46,롯데케미칼,3
47,한국조선해양,1
48,한화솔루션,3
49,우리금융지주,4
50,기업은행,2
51,LG디스플레이,6
52,현대제철,1
53,현대글로비스,3
54,SKC,3
55,CJ제일제당,5
56,LG유플러스,4
57,금호석유,4
58,강원랜드,4
59,현대건설,3
60,F&F,4
61,코웨이,6
62,미래에셋증권,4
63,한국타이어앤테크놀로지,4
64,LG이노텍,4
65,현대중공업지주,3
66,메리츠금융지주,4
67,맥쿼리인프라,6
68,한국금융지주,2
69,오리온,4
70,한미사이언스,4
71,이마트,4
72,유한양행,4
73,삼성엔지니어링,4
74,아모레G,6
75,삼성증권,5
76,쌍용C&E,4
77,DB손해보험,4
78,에스디바이오센서,4
79,한진칼,4
80,녹십자,4
81,두산밥캣,4
82,KCC,4
83,삼성중공업,4
84,메리츠화재,4
85,삼성카드,4
86,GS,4
87,CJ대한통운,3
88,팬오션,4
89,GS건설,4
90,NH투자증권,3
91,메리츠증권,1
92,롯데지주,4
93,한미약품,3
94,한솔케미칼,4
95,신풍제약,2
96,현대차2우B,4
97,GS리테일,4
98,일진머티리얼즈,4
99,SK케미칼,4
100,한화시스템,4
101,호텔신라,4
102,한국가스공사,4
103,OCI,4
104,두산퓨얼셀,4
105,에스원,4
106,효성티앤씨,4
107,키움증권,4
108,씨에스윈드,4
109,BGF리테일,4
110,효성첨단소재,4
111,롯데쇼핑,2
112,CJ,3
113,한국항공우주,4
114,현대오토에버,4
115,대우조선해양,4
116,현대미포조선,4
117,한화생명,4
118,동서,4
119,대우건설,4
120,만도,4
121,일진하이솔루스,4
122,더존비즈온,4
123,포스코인터내셔널,4
124,한샘,4
125,DL이앤씨,4
126,휠라홀딩스,4
127,LG화학우,4
128,신세계,4
129,제일기획,4
130,현대로템,4
131,한화,4
132,DB하이텍,4
133,효성,4
134,BNK금융지주,4
135,코오롱인더,4
136,한화에어로스페이스,4
137,현대차우,4
138,하이트진로,4
139,현대위아,4
140,현대해상,4
141,대한전선,4
142,롯데정밀화학,4
143,LS,4
144,대웅,4
145,LS ELECTRIC,4
146,프레스티지바이오파마,4
147,현대엘리베이,4
148,동국제강,4
149,현대백화점,4
150,솔루스첨단소재,4
151,영원무역,4
152,HDC현대산업개발,4
153,오뚜기,4
154,대웅제약,4
