Stock,Article_cnt,Negative_sim,Positive_sim,Score,Ranking
현대차,2496,0.00974477456056055,0.012603733622377919,2503.135961818296,1.0
삼성전자,2370,0.006926665419139501,0.011268749013260982,2380.290738118068,2.0
KT,2304,0.012173899745066817,0.01838553680538876,2318.3116117869818,3.0
기아,2300,0.00896329038089132,0.0150769800080347,2314.0614861424297,4.0
한국항공우주,2200,0.009634675534902238,0.014121934621531227,2209.8719699905837,5.0
대상,2173,0.0061314992539245805,0.010342233985230227,2182.1499265711273,6.0
신세계,2145,0.006694718918149084,0.012584956505660173,2157.6345596252113,7.0
SK하이닉스,2142,0.009651518979258873,0.012400774796498128,2147.8889059605267,8.0
SK,2113,0.008641729441925573,0.01299355433169856,2122.1954059920904,9.0
LG디스플레이,2070,0.009217331055547857,0.016204322663993978,2084.4630726294836,10.0
LG전자,2048,0.008519392561495838,0.018864946660507864,2069.1876947947767,11.0
LG화학,2055,0.0077056495078077405,0.013125915684883548,2066.138646993891,12.0
카카오,2035,0.007965496612529996,0.013003544319130447,2045.2524270829322,13.0
NHN,2023,0.006830987774262557,0.012583639115378744,2034.637613663078,14.0
SK이노베이션,1995,0.0068570196578670506,0.012434186922145618,2006.1264486922357,15.0
한화,1986,0.0065345380341811565,0.012499354805551506,1997.8461261079417,16.0
동서,1921,0.007807628726606013,0.013333934193760048,1931.6160328024027,17.0
GS,1918,0.010173122670526337,0.01615966508294242,1929.4821883470142,18.0
카카오뱅크,1903,0.01125027658507474,0.016541005977448574,1913.0682580336875,19.0
현대모비스,1889,0.007613076507724265,0.011356343904002341,1896.0710321115694,20.0
LG,1850,0.010560747567618668,0.015755079589254532,1859.6095142400263,21.0
현대백화점,1849,0.009167041212809696,0.014412767213465348,1858.6993473752125,22.0
GS건설,1833,0.007295365284325247,0.016095915273732074,1849.1314081305827,23.0
HDC현대산업개발,1833,0.01071490498200695,0.019162042246846322,1848.4836026064506,24.0
삼성물산,1834,0.006292920979237521,0.012382010802545772,1845.1673907359475,25.0
효성,1811,0.006000458750409117,0.014399747251860733,1826.211111476129,26.0
두산,1740,0.007096011956521791,0.013508239238931713,1751.1572754713932,27.0
LG유플러스,1711,0.00989215071181586,0.02027271413876357,1728.7611440235078,28.0
엔씨소프트,1714,0.011788026694934263,0.015655608428956035,1720.629035092113,29.0
한화시스템,1673,0.008462349479152512,0.012584149168291427,1679.8957708799294,30.0
DL이앤씨,1659,0.008345266464585005,0.015450987116603603,1670.7883905616989,31.0
한국조선해양,1653,0.007558534082323291,0.01495783627431287,1665.2310465233588,32.0
SK텔레콤,1649,0.008661680543800516,0.012480837817544586,1655.297790344404,33.0
CJ,1639,0.007678057227312237,0.013906191750779465,1649.2079124839627,34.0
NH투자증권,1615,0.011821201389978846,0.013032025446414519,1616.9554808511436,35.0
HDC,1590,0.010812111921917911,0.02215579136097487,1608.0364503081005,36.0
대우건설,1587,0.008197805726698804,0.015389545144204429,1598.4132904555813,37.0
현대건설,1572,0.008805620525139573,0.016425185224533526,1583.9779557074473,38.0
삼성SDI,1520,0.007784255531305357,0.015385309056245848,1531.5536013579094,39.0
한화솔루션,1482,0.0065275480307388275,0.013303123583527669,1492.0414029692329,40.0
KT&G,1473,0.006581098938911264,0.01280449972756284,1482.1670693616836,41.0
대한항공,1456,0.008916302504835915,0.013602483246969018,1462.8230791605456,42.0
대우조선해양,1446,0.012305859223275118,0.017665208677994836,1453.7496193115246,43.0
미래에셋증권,1434,0.011393330858475098,0.016551682239491536,1441.3970758803778,44.0
KB금융,1431,0.01114202016549944,0.013447203165307528,1434.2987168727254,45.0
DL,1418,0.008952940620262312,0.016692856533947177,1428.975200765605,46.0
아모레퍼시픽,1413,0.009871815351947508,0.015123149146452627,1420.4201346516356,47.0
GS리테일,1404,0.014171200749155228,0.018365299664040116,1409.8885148764984,48.0
이마트,1391,0.008640093044122558,0.015454964214833307,1400.4794857984587,49.0
한국전력,1392,0.009734840848943351,0.013473508638193393,1397.204225562636,50.0
