Stock,Article_cnt,Negative_sim,Positive_sim,Score,Ranking
카카오,3093,0.01140470547943414,0.012345259870633722,3095.9091347319804,1.0
한국항공우주,2677,0.00853248609799145,0.013074240738702883,2689.158277173184,2.0
삼성물산,2653,0.008422680894165072,0.012228959258282579,2663.0980565000036,3.0
삼성전자,2581,0.006551032956869616,0.011722158133175753,2594.3466740800463,4.0
삼성SDI,2562,0.007937736168838862,0.011800017606735092,2571.89516504389,5.0
SK바이오사이언스,2493,0.009034835090397353,0.014006912811929551,2505.39538975978,6.0
현대차,2487,0.009380825875166325,0.01332162794082104,2496.800774737283,7.0
LG화학,2482,0.008573623244597092,0.013122202972044323,2493.289574883524,8.0
강원랜드,2484,0.011102403940115163,0.012914467743806602,2488.5011664883696,9.0
카카오뱅크,2373,0.010300725386295496,0.0141724016196628,2382.1874877017804,10.0
삼성바이오로직스,2354,0.009536561117386167,0.012536304723170136,2361.061396448016,11.0
NHN,2317,0.00860243062758108,0.013991623926110064,2329.486760872692,12.0
한국조선해양,2256,0.0067758799148002775,0.013652478341502707,2271.513606050641,13.0
LG전자,2224,0.0068083399803439545,0.01665572900012933,2245.900593180003,14.0
SK하이닉스,2236,0.009735768770504938,0.013300638874762884,2243.971049553121,15.0
삼성생명,2229,0.006584034992364476,0.011842184820029357,2240.720415965865,16.0
LG,2208,0.007417226800374652,0.011787535882994991,2217.6496424544257,17.0
대상,2189,0.009192113504632607,0.013741539323815185,2198.9586931181907,18.0
LG디스플레이,2148,0.009462615150136298,0.014305495104016686,2158.402506140935,19.0
SK,2146,0.0063605165570321896,0.010785400928371689,2155.4958018608945,20.0
SBS,2110,0.009940898538745784,0.015569213244526668,2121.875744029198,21.0
대우조선해양,2101,0.012720693159529901,0.01393599022290698,2103.553339130155,22.0
현대모비스,2073,0.008032824445953097,0.01120566787974453,2079.5773044382495,23.0
CJ제일제당,2056,0.009516637432076334,0.014376464135021551,2065.9918037012553,24.0
엔씨소프트,2040,0.008748157744959158,0.014620712084966927,2051.980010853616,25.0
대신증권,2043,0.010350560548574065,0.012433868271320722,2047.2561976775714,26.0
오뚜기,2026,0.01005960876422115,0.016924482680901496,2039.9082345551944,27.0
CJ,2009,0.009773674004338947,0.012520146369405478,2014.5176629814187,28.0
미래에셋증권,1996,0.009793595525927732,0.013061931683510308,2002.5235989705347,29.0
아시아나항공,1994,0.010778887445647567,0.014602457092965735,2001.6241978767523,30.0
대한항공,1990,0.009524374676601863,0.01227579798351136,1995.47533238075,31.0
크래프톤,1972,0.010300999353004367,0.015456481469698106,1982.16661073412,32.0
현대제철,1934,0.010057682944907604,0.013694298445985374,1941.0332143790845,33.0
한화시스템,1920,0.011061758797488604,0.015569277621123534,1928.6544361413792,34.0
두산중공업,1916,0.008535468630607874,0.01345614992782769,1925.428025365473,35.0
호텔신라,1866,0.010738163865340798,0.012880992802778199,1869.9985187972584,36.0
한전기술,1857,0.009563276526653055,0.014463726605759347,1866.1001357969005,37.0
기아,1852,0.009283293531198092,0.01619303539585689,1864.7968419333483,38.0
롯데지주,1850,0.009110026968623765,0.011776904499338393,1854.933723431822,39.0
삼성증권,1846,0.010881431846799778,0.01409493084985226,1851.932119159635,40.0
셀트리온,1803,0.008968986082169676,0.013843082978466315,1811.7879967040228,41.0
롯데케미칼,1799,0.007209870809053513,0.011852074517362494,1807.3513244712478,42.0
포스코케미칼,1798,0.010553566096543485,0.013767941479050312,1803.7794469377475,43.0
HMM,1776,0.011068378042403664,0.012919473053861794,1779.2875447403496,44.0
LG유플러스,1762,0.009244592905024496,0.01294000692931672,1768.5113195108029,45.0
롯데제과,1726,0.009183621137635514,0.015491216452600388,1736.8869095136295,46.0
키움증권,1692,0.011046495255576544,0.014309502785850543,1697.5210087412236,47.0
POSCO,1689,0.01318407934074531,0.015871072208776888,1693.5383309541053,48.0
포스코인터내셔널,1669,0.00901987469482758,0.013400096307123141,1676.3105898709211,49.0
두산,1667,0.008319467403769158,0.010561965921353268,1670.7382450288128,50.0
동서,1661,0.0073335186663062825,0.012979877302814335,1670.37860169524,51.0
KB금융,1656,0.011243715939026887,0.017561515586403106,1666.462276216055,52.0
LG생활건강,1658,0.009141271307623456,0.012104770937045086,1662.9134823855811,53.0
한화솔루션,1637,0.011227314076627866,0.01841144755330135,1648.7604265013147,54.0
현대건설,1640,0.007730889722006281,0.011615587399124494,1646.370904190474,55.0
BGF리테일,1617,0.010741016104174118,0.014910521953352268,1623.742090958121,56.0
이마트,1605,0.008822505247503847,0.012736424598458336,1611.281840558282,57.0
KT,1597,0.007779480206152774,0.013099270545827787,1605.4957051724612,58.0
DL,1585,0.008804347074706157,0.01645421187827676,1597.1250357136594,59.0
SK텔레콤,1587,0.007148543446058208,0.011215668268419077,1593.4545270930869,60.0
SK이노베이션,1573,0.008329241585299876,0.015024505141083718,1583.531649573248,61.0
KT&G,1571,0.011617931417473219,0.012408631904701697,1572.242190465436,62.0
삼성화재,1566,0.012406711021320788,0.015619704386098499,1571.031547609242,63.0
한국전력,1550,0.010411014789348421,0.013249996934401343,1554.400422324832,64.0
농심,1531,0.013909548220199897,0.019148732014344753,1539.0211903888357,65.0
한화생명,1516,0.010771538282739723,0.014336521791927365,1521.4045149999283,66.0
SKC,1509,0.01263911127040149,0.017944344536103694,1517.0055969979446,67.0
한화투자증권,1508,0.011395098345563017,0.013998104556960298,1511.925333366787,68.0
GS리테일,1502,0.01087706048522134,0.013868404352648385,1506.4929984888752,69.0
하이브,1489,0.0073896470535165905,0.014165697671228336,1499.0895393697726,70.0
오리온,1485,0.009054461582783608,0.015811356651103302,1495.0339891764547,71.0
롯데쇼핑,1484,0.00768843598498134,0.01441422699315564,1493.9810738561307,72.0
GS,1465,0.006169578635282871,0.012402877644891987,1474.1317830490773,73.0
삼성전기,1470,0.009732650339073876,0.010090239701775926,1470.5256563631722,74.0
NH투자증권,1465,0.010334704365800125,0.014023978398821801,1470.4047864583767,75.0
KCC,1457,0.01066768890159737,0.01486321236341479,1463.112877683868,76.0
한미사이언스,1446,0.009211237078942168,0.015340342660881641,1454.8626866714844,77.0
효성화학,1392,0.011503513898141167,0.01448089851088526,1396.1445193809398,78.0
현대글로비스,1375,0.011469767067948907,0.016350437537882557,1381.7109218961587,79.0
GS건설,1371,0.008560946533623541,0.012517324450578822,1376.4241941241457,80.0
한샘,1371,0.011592356465105442,0.014842299228169965,1375.4556715281615,81.0
신세계인터내셔날,1354,0.009378432490551692,0.014839053279857326,1361.3936805487197,82.0
기업은행,1342,0.011101047702290819,0.013496319696726659,1345.2144550165328,83.0
아모레퍼시픽,1335,0.007628585515441208,0.0136956291548471,1343.099503258607,84.0
롯데칠성,1329,0.00691035280013297,0.011318070078173335,1334.8578562625157,85.0
만도,1326,0.013552948673668774,0.016610223059202164,1330.0539458352175,86.0
삼성카드,1316,0.008431177161485842,0.014686963844415878,1324.232615274736,87.0
현대일렉트릭,1314,0.00931072255578345,0.013083340699679664,1318.9572202410795,88.0
유안타증권,1302,0.010384313990725924,0.013808046559948486,1306.4576998051277,89.0
HDC현대산업개발,1301,0.013283935307024038,0.01530982599625525,1303.6356837866897,90.0
대우건설,1291,0.011260310404545299,0.014419140859175223,1295.0780501169272,91.0
메리츠증권,1284,0.011778813839046678,0.014409315244231686,1287.3775638042575,92.0
현대중공업지주,1278,0.01217297964871399,0.015909056400780507,1282.7747060891409,93.0
LG이노텍,1254,0.010545432325911229,0.017164792343816675,1262.3006774624535,94.0
한국앤컴퍼니,1220,0.012031600490734866,0.01295570068729084,1221.1274022397981,95.0
코웨이,1212,0.012946071929363699,0.01980816855195633,1220.3168611065823,96.0
우리금융지주,1212,0.009350660691800804,0.013508320481649667,1217.0390836652969,97.0
SK케미칼,1185,0.012509274835631403,0.014787031650211155,1187.699141825277,98.0
신한지주,1155,0.014270832303342206,0.018048904029373165,1159.3636728435658,99.0
한국타이어앤테크놀로지,1137,0.009929577675766412,0.015970476153165315,1143.8685015688027,100.0
금호타이어,1141,0.01505434777865975,0.015726417565745013,1141.7668316270642,101.0
DB손해보험,1113,0.011290275613305437,0.01501801089591607,1117.1489693695455,102.0
금호석유,1102,0.009519636899083205,0.012852615994303396,1105.6729429629327,103.0
삼성중공업,1082,0.011219166000614704,0.016258499920482235,1087.4525593012968,104.0
두산퓨얼셀,1044,0.007954911151728283,0.01733279011326992,1053.7905056358495,105.0
두산인프라코어,1020,0.010044315825011342,0.015109421138415548,1025.1664074196724,106.0
한국가스공사,1011,0.008093245728817297,0.01268548115660245,1015.6427500174908,107.0
쌍용C&E,1011,0.013892323619023964,0.01827703087109597,1015.4329390318447,108.0
한섬,982,0.012468768900458543,0.016625833033615617,986.0822369787602,109.0
SK가스,959,0.007879308185757107,0.01426509406889636,965.1239686619306,110.0
OCI,946,0.009250090330960064,0.01564613204218443,952.0506554588183,111.0
하나투어,918,0.013158352483292435,0.01713646560125389,921.6519078422887,112.0
효성티앤씨,908,0.00969886676843399,0.015414670289993531,913.1899495975762,113.0
넷마블,896,0.011368311336896938,0.02117867868789001,904.7900891464898,114.0
S-Oil,876,0.01201774494806172,0.017688367685340357,880.9674655178561,115.0
태광산업,852,0.0167830062629631,0.023611366114184816,857.8177625932409,116.0
SK네트웍스,854,0.011365475438307793,0.014284437459969943,856.4927935664995,117.0
SK바이오팜,840,0.011079240040008296,0.015345407041234653,843.5835802810301,118.0
한국콜마,829,0.010962655461675772,0.019590026187620974,836.1520903318086,119.0
효성첨단소재,823,0.012037867655752587,0.021725350925240104,830.9727987307882,120.0
SK아이이테크놀로지,828,0.01512845725834629,0.017090725953229472,829.6247584793633,121.0
한전KPS,806,0.009399470235049528,0.016874145177804178,812.0245880038601,122.0
LIG넥스원,807,0.01550755199924073,0.019272402553235972,810.0382343970742,123.0
현대건설기계,782,0.012895513531810345,0.01622553994388364,784.6040806542413,124.0
삼성엔지니어링,780,0.009511228045942902,0.014356379026091158,783.7792177645156,125.0
GKL,766,0.01415508200583917,0.01836447144107216,769.2243923073885,126.0
녹십자,751,0.01184470689706299,0.017042725090557195,754.9037116633142,127.0
에스원,714,0.012260435416124465,0.016256301382413612,716.8530482999304,128.0
대웅제약,712,0.018653103145403072,0.02507004850112302,716.5688650932726,129.0
종근당,709,0.010792124812739135,0.015888268006262217,712.6131655242078,130.0
롯데렌탈,707,0.009652296720879324,0.015644958378207025,711.2368117917306,131.0
현대그린푸드,705,0.009561478829214336,0.016466881308796776,709.8683087481056,132.0
맥쿼리인프라,686,0.013834643425085778,0.023319080207236803,692.5063236325556,133.0
SK디스커버리,684,0.015394653283475095,0.02455094640554652,690.2629044954969,134.0
한국금융지주,672,0.01523587617230119,0.01961589590577542,674.9433732608946,135.0
진에어,666,0.011554252597589442,0.01535467577120839,668.5310818336302,136.0
현대홈쇼핑,659,0.008364970107332257,0.015840239668656216,663.9262026409125,137.0
고려아연,650,0.013286763899695483,0.0187070365825579,653.5231772438606,138.0
현대미포조선,651,0.012712537387739118,0.015027845518702471,652.5072655932571,139.0
현대오토에버,647,0.012230970560458514,0.01530566182456082,648.9893252478741,140.0
JB금융지주,636,0.006294164892660141,0.014207794952436,641.0330687180175,141.0
한미약품,627,0.011850477429314358,0.015831330369527608,629.4959947935137,142.0
하나금융지주,624,0.010742199508254106,0.01792065390872421,628.4793555458933,143.0
CJ CGV,618,0.0161241454970967,0.02006604003897161,620.4360908268787,144.0
티와이홀딩스,612,0.003065692342642599,0.005809102253169068,613.6789668652423,145.0
더존비즈온,606,0.0160476793612138,0.01951874234970795,608.1034641710274,146.0
유한양행,600,0.014337699511862093,0.018278952653427237,602.3647518849391,147.0
