Stock,Article_cnt,Negative_sim,Positive_sim,Score,Ranking
삼성전자,2369,0.008594815028108617,0.013304206935973222,2380.1565494297315,1.0
현대차,2013,0.008925609561367126,0.01458220505455712,2024.3867267277915,2.0
LG전자,1974,0.013088853158244363,0.024592552423735103,1996.7083023500786,3.0
기아,1751,0.006938545451107157,0.013886436598679658,1763.1657573993994,4.0
LG,1717,0.010371540041813145,0.02027004896920929,1733.9957398283393,5.0
한국전력,1682,0.009501351459939604,0.015146718584778746,1691.4955075039793,6.0
대상,1650,0.008848904767230957,0.01471967615729072,1659.6867727935987,7.0
SK텔레콤,1626,0.008150597932492254,0.013035335077502378,1633.9425825977862,8.0
SK이노베이션,1614,0.007197419080343241,0.014225628553718795,1625.3435300900283,9.0
신세계,1580,0.007069147467749838,0.015032026790223238,1592.581349329508,10.0
KT,1565,0.006393032095834622,0.013461437697476698,1576.0620547665699,11.0
카카오,1554,0.008230392120397834,0.01420121328083783,1563.2786560833235,12.0
SK,1513,0.009764665740275775,0.01959922963840021,1527.8796951778625,13.0
GS,1468,0.009214989733153597,0.01778363174273931,1480.5787664700717,14.0
LG유플러스,1413,0.015266506068464759,0.022752961216429494,1423.5783611240743,15.0
현대백화점,1415,0.006770577384845405,0.012404603286487008,1422.9721466508229,16.0
이마트,1402,0.008166372257447466,0.015979001229487144,1412.9533058187997,17.0
동서,1398,0.006433952472436696,0.014950255404725108,1409.905791499339,18.0
CJ제일제당,1366,0.01056211232098957,0.016367524314475267,1373.9301927831013,19.0
한화,1278,0.008840616408289427,0.012351210040677742,1282.4865386621923,20.0
SBS,1262,0.010046924001831886,0.019388000154746635,1273.7884381049782,21.0
롯데칠성,1242,0.007978426837705915,0.015021246559231387,1250.7471820941348,22.0
아모레퍼시픽,1233,0.008039506849647512,0.015102914476385431,1241.709181603768,23.0
CJ,1208,0.008630538319047096,0.016936091308695528,1218.0331080114954,24.0
BGF리테일,1158,0.010121827835080043,0.017093183155583867,1166.0728294611433,25.0
CJ대한통운,1100,0.011133620334282458,0.020749684222457362,1110.5776702769922,26.0
태광산업,1080,0.011082477119465027,0.014188572054394095,1083.3545825297233,27.0
제일기획,1041,0.011294632119790206,0.021722540959488595,1051.855453102126,28.0
SK가스,967,0.005764917972599738,0.009286896658272982,970.405753389046,29.0
GS리테일,942,0.010475858614607873,0.018320563938017374,949.3897124146516,30.0
삼성전기,882,0.013148137440447906,0.02622050616210423,893.5298292125009,31.0
이노션,822,0.019104803150158337,0.023483934231096033,825.5996457485309,32.0
삼성바이오로직스,810,0.011001006307336648,0.016965058173461625,814.8308820115612,33.0
농심,796,0.010036813400466695,0.021779543461208074,805.3472131283501,34.0
강원랜드,768,0.016580443225040428,0.018889929369528984,769.7736853589672,35.0
롯데제과,760,0.00796114629977194,0.018489144485634147,768.0012786212552,36.0
제주항공,762,0.008692255482711821,0.012388869023287943,764.8168195179189,37.0
HDC,744,0.007502770676359427,0.008731284141633155,744.9140140181636,38.0
락앤락,732,0.009667093858375799,0.021963765307648396,741.0011635008675,39.0
SK하이닉스,732,0.010402799722223983,0.01570956151890205,735.8845496351682,40.0
금호석유,708,0.024178044338835435,0.05727207721417892,731.4305752757432,41.0
미래에셋증권,696,0.03158799034579737,0.05086625263665399,709.4176705544363,42.0
현대모비스,705,0.009472854470406997,0.013185544357654427,707.6174463705095,43.0
한화솔루션,702,0.013251332982522885,0.019628709984361562,706.4769186552908,44.0
하이트진로,697,0.010229110210157676,0.018370287602900975,702.6744006427421,45.0
현대로템,678,0.013100942847085472,0.03955713292180154,695.9372968706574,46.0
KT&G,691,0.009940425747399466,0.013697416363099218,693.5960805154485,47.0
HDC현대산업개발,690,0.006189287387583932,0.007427161825444312,690.8541333621235,48.0
삼성엔지니어링,678,0.016322771368978722,0.033814608671997246,689.8594656914466,49.0
KG동부제철,666,0.011337833844330469,0.040395264324228214,685.352248699612,50.0
KB금융,675,0.012843171537036069,0.021699307178478053,680.9778915579734,51.0
현대그린푸드,672,0.006642362275092591,0.010467814377032585,674.5707038125038,52.0
DL,671,0.012225809449225685,0.017163093450941615,674.3129175651513,53.0
GS건설,669,0.01430935360613768,0.015782628668003687,669.9856210163883,54.0
대웅제약,654,0.010583152848066477,0.014001269321069008,656.2354481733437,55.0
효성중공업,630,0.013996009225742633,0.05447672663970039,655.5028519707934,56.0
OCI,600,0.11676774457565609,0.20575811896215915,653.3942246319018,57.0
대우건설,642,0.010276179381739725,0.018062275168787053,646.9986734952844,58.0
삼성물산,636,0.008082529334931957,0.019873131089379062,643.4988227158284,59.0
효성첨단소재,642,0.033828626746528284,0.0359007682457998,643.3303148425323,60.0
한화에어로스페이스,630,0.016582786029402115,0.034451559340538236,641.2573271860157,61.0
삼성에스디에스,600,0.10983023352048936,0.16477567436979054,632.9672645095807,62.0
현대오토에버,600,0.10514120391301705,0.14005251495865162,620.9467866273807,63.0
F&F홀딩스,612,0.017173753580683324,0.02536104945041887,617.0106250722781,64.0
일진머티리얼즈,600,0.09493118494706607,0.12249773293448082,616.5399287924489,65.0
서흥,612,0.0038275552632826663,0.006906507343974903,613.8843186733836,66.0
맥쿼리인프라,600,0.14144398908633615,0.15712397418093574,609.4079910567598,67.0
대신증권,606,0.005598426625012185,0.007346466492263848,607.0593121595545,68.0
롯데쇼핑,600,0.010360642113739799,0.013738575670649962,602.0267601341461,69.0
한화생명,572,0.015303849005745029,0.023794210748862975,576.8564869170635,70.0
동원F&B,561,0.00931161931599559,0.02224143128301825,568.2536245134997,71.0
효성,551,0.012838986217626481,0.01812870071933477,553.9146326904413,72.0
KCC,550,0.02064454212034921,0.02538564685448793,552.6076076037764,73.0
LG생활건강,510,0.008977110923602835,0.018785365217337705,515.0022096898048,74.0
롯데케미칼,498,0.015727059011304542,0.024703555202228302,502.47029510308005,75.0
NHN,497,0.014012990918028526,0.021626833327520203,500.7840796775173,76.0
LG화학,492,0.014177846306714401,0.01739992160859053,493.5852610485231,77.0
풀무원,485,0.012026526898022447,0.026643542427536422,492.0892525318143,78.0
현대홈쇼핑,485,0.011372162488553933,0.018327367441108022,488.37327440198874,79.0
넥센타이어,453,0.013231211680877314,0.021413654598844614,456.7066466418392,80.0
롯데지주,420,0.01644561787867272,0.016964037977041282,420.2177364413148,81.0
한섬,407,0.017952817000350643,0.028760105406320943,411.3985663812299,82.0
두산,405,0.018530413978673756,0.02255628244323445,406.6304767281471,83.0
NAVER,402,0.012356094552741143,0.018043872340228796,404.28648667057007,84.0
삼성생명,396,0.017997041671200257,0.02363642796190946,398.23319697112083,85.0
삼성화재,392,0.01860031133596229,0.02272280022030069,393.6160156426606,86.0
한국가스공사,384,0.01720138492090587,0.019851747956655893,385.017739405728,87.0
현대위아,372,0.014660927284999197,0.02507359071570293,375.8735107962218,88.0
동아쏘시오홀딩스,372,0.022252291372970856,0.03238762165120459,375.77034286350295,89.0
넷마블,364,0.01660072660442159,0.024746799606542875,366.96517057277214,90.0
영원무역,318,0.023385536825425553,0.05221871248320133,327.1689498591727,91.0
오뚜기,324,0.023898351362034324,0.027029752671345487,325.0145740242168,92.0
영원무역홀딩스,300,0.030361924301585668,0.05691482935962756,307.9658715174126,93.0
삼양식품,306,0.01638880440200405,0.020375763997118334,307.220009636105,94.0
크래프톤,305,0.012950620139458772,0.019304796985583395,306.938023938068,95.0
롯데하이마트,300,0.014559331929213382,0.0313898171045008,305.0491455525862,96.0
현대제철,303,0.01905907899985788,0.019814280640087067,303.22882609698945,97.0
DB손해보험,300,0.020761758154455672,0.02890549666375094,302.44312155278857,98.0
한화시스템,300,0.014375852377259217,0.02065164249088596,301.88273703408805,99.0
삼성증권,288,0.021331633098384938,0.034064506860404374,291.66706764346156,100.0
S-Oil,288,0.02629561760036038,0.036838906565435495,291.0364672219416,101.0
신세계인터내셔날,288,0.015399775929773867,0.025273103438170776,290.8435183224183,102.0
하나투어,284,0.021320890053778734,0.03275874506915788,287.24835082436766,103.0
한전기술,282,0.01613312280104735,0.024404424431489317,284.33250705978463,104.0
엔씨소프트,282,0.019048077074489793,0.027036295057712392,284.2526774712688,105.0
현대건설,282,0.019949398913804903,0.022057789120159755,282.59456603819206,106.0
동아에스티,269,0.018040940181286373,0.06055000825947013,280.4349393130314,107.0
금호타이어,276,0.012687944170684008,0.01936498321622925,277.8428627765705,108.0
LS,270,0.018762456032736973,0.02457987040970649,271.5707018817818,109.0
우리금융지주,268,0.017473091397176357,0.0234180379870446,269.5932456860847,110.0
대한항공,258,0.025883052545769746,0.02744538793401721,258.40308253016786,111.0
SPC삼립,245,0.01766390156930912,0.028222308541404277,247.58680970816332,112.0
효성티앤씨,244,0.01715280562616837,0.030623796899350162,247.28692187065639,113.0
삼성SDI,240,0.023473173163439616,0.03374541876970667,242.46533894550413,114.0
DL건설,226,0.021623588774019143,0.043657940918831184,230.97976358472752,115.0
대웅,229,0.025122615038093446,0.03275215507148517,230.7471646676467,116.0
NH투자증권,228,0.026734316824456043,0.029784564832924236,228.69545654593074,117.0
한국조선해양,222,0.018756633918484398,0.03030696968566967,224.56417454031515,118.0
삼양사,215,0.017965315806052602,0.026597517521178633,216.85592336875212,119.0
오리온,212,0.01795827263221809,0.025770316569912438,213.6561533147912,120.0
애경산업,210,0.015674817317261384,0.021525177003704692,211.22857553415307,121.0
효성화학,210,0.01815472749856052,0.023416112177749412,211.10489078262967,122.0
SK렌터카,204,0.02186827709415332,0.036709411880848516,207.02759149648583,123.0
카카오뱅크,204,0.020277633509620363,0.028264443117151348,205.62930915993633,124.0
LG디스플레이,204,0.023056883085074836,0.024785738229996492,204.35268644956403,125.0
SK아이이테크놀로지,198,0.03675580023109139,0.05159131369997154,200.93743166683828,126.0
현대글로비스,192,0.023384248872277608,0.042666545043337466,195.70220086484352,127.0
롯데렌탈,192,0.022257911488885923,0.02996325580293198,193.47942610829682,128.0
기업은행,192,0.019192455608052026,0.021199138271434635,192.38528307136949,129.0
종근당,186,0.020266154578756877,0.036952484681967046,189.10365739919706,130.0
코스맥스,186,0.013139899605390047,0.021464186931083706,187.54831744257902,131.0
POSCO,186,0.06634114310924542,0.07213075501722768,187.0768678148847,132.0
동양생명,174,0.030930051105833217,0.07844655071723088,182.2678709323832,133.0
녹십자,180,0.04103392176969386,0.04895110316978657,181.42509265201667,134.0
포스코케미칼,178,0.025116416879399448,0.04120184695951335,180.86320655426027,135.0
F&F,163,0.016083665649484016,0.027800672974539187,164.909872193984,136.0
CJ CGV,150,0.028538743140134847,0.04797736640836673,152.9157934902348,137.0
한국항공우주,144,0.02219162621788633,0.03003661800387157,145.12967881718188,138.0
SKC,144,0.020437135858873804,0.025462174205793237,144.72360552195642,139.0
