종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5960","40","0.68","5920","5990","5800","101402","598345110","279060878200","46822295"
"006840","AK홀딩스","27150","50","0.18","27000","27450","26700","9960","269351950","359671281150","13247561"
"027410","BGF","6320","-10","-0.16","6280","6420","6280","136742","867702990","604930119120","95716791"
"282330","BGF리테일","181000","1000","0.56","180000","182000","178500","12952","2331337000","3128386986000","17283906"
"138930","BNK금융지주","7920","110","1.41","7850","7940","7780","818390","6441648060","2581407148320","325935246"
"001460","BYC","421000","3000","0.72","418000","423000","413500","2175","915292000","262962915000","624615"
"001465","BYC우","172000","0","0.00","171000","172000","170000","307","52411500","37046220000","215385"
"001040","CJ","104000","500","0.48","103500","104500","101500","87492","9031013000","3034407792000","29176998"
"079160","CJ CGV","31200","600","1.96","30600","31600","30600","343215","10691613350","1157031345600","37084338"
"00104K","CJ4우(전환)","85200","900","1.07","85200","85200","84000","4145","350159800","360098822400","4226512"
"000120","CJ대한통운","170000","500","0.29","169000","171000","168500","31484","5351703500","3878098480000","22812344"
"011150","CJ씨푸드","4165","15","0.36","4150","4195","4095","114504","474606230","149651669545","35930773"
"011155","CJ씨푸드1우","38000","-750","-1.94","38600","38600","37250","326","12356000","7600000000","200000"
"001045","CJ우","62600","-100","-0.16","62700","62700","61900","1388","86431400","141489959800","2260223"
"097950","CJ제일제당","432500","-5000","-1.14","438000","438500","430000","37071","16021513500","6510935445000","15054186"
"097955","CJ제일제당 우","199500","0","0.00","201500","201500","198500","2806","558548500","264822883500","1327433"
"000590","CS홀딩스","62900","-100","-0.16","62700","63000","61700","1328","82893100","72616917800","1154482"
"012030","DB","1090","-25","-2.24","1115","1120","1085","737267","808800530","219279586970","201173933"
"016610","DB금융투자","6840","20","0.29","6800","6850","6750","46443","316427820","290333300760","42446389"
"005830","DB손해보험","60400","300","0.50","60100","61200","59000","103591","6265812500","4276320000000","70800000"
"000990","DB하이텍","59800","400","0.67","59500","60300","58700","364716","21762605800","2655035562400","44398588"
"000995","DB하이텍1우","110000","500","0.46","109500","110000","108000","301","32813500","12354760000","112316"
"139130","DGB금융지주","9230","220","2.44","9050","9280","9030","597146","5477000850","1561216038590","169145833"
"001530","DI동일","354500","500","0.14","354000","363000","351000","25808","9164824000","890027197500","2510655"
"000210","DL","71200","1500","2.15","69600","71200","69400","61777","4335466400","1492058940800","20955884"
"001880","DL건설","32200","300","0.94","31750","32350","31400","31115","992791050","710115744800","22053284"
"000215","DL우","43600","250","0.58","44000","44000","43300","528","22956850","73514614000","1686115"
"375500","DL이앤씨","142000","0","0.00","142000","142500","139000","85890","12081212500","2748940796000","19358738"
"37550K","DL이앤씨우","77100","-400","-0.52","77100","78100","76200","6944","533615800","162980533500","2113885"
"004840","DRB동일","6490","30","0.46","6460","6560","6430","53319","347802020","129345700000","19930000"
"155660","DSR","11850","0","0.00","11950","12100","11300","3208018","38049076050","189600000000","16000000"
"069730","DSR제강","9830","-270","-2.67","10200","10350","9630","1589031","15812888060","141552000000","14400000"
"017940","E1","62700","4600","7.92","58300","63000","57600","177306","10830778600","430122000000","6860000"
