,회사명,시가총액,발행주식수,외국인비율,거래량,PER,ROE
0,삼성전자,"4,596,733","5,969,783",51.85,"12,500,473",16.21,9.99
1,SK하이닉스,"782,603","728,002",46.77,"2,797,024",13.45,9.53
2,NAVER,"657,875","164,263",56.65,"706,020",3.99,15.22
3,삼성바이오로직스,"619,304","66,165",10.55,"76,490",184.98,N/A
4,삼성전자우,"590,833","822,887",75.27,"821,303",15.12,N/A
5,카카오,"545,115","444,992",30.64,"9,028,112",114.17,2.70
6,삼성SDI,"515,734","68,765",44.87,"120,375",55.57,4.54
7,LG화학,"506,853","70,592",46.32,"449,681",19.34,2.93
8,현대차,"447,635","213,668",28.57,"471,554",15.18,2.04
9,셀트리온,"375,872","137,935",20.63,"570,117",63.89,16.68
10,기아,"337,668","405,363",34.40,"1,119,055",9.72,5.05
11,카카오뱅크,"327,819","475,100",5.23,"5,036,295",223.30,5.08
12,POSCO,"315,180","87,187",55.14,"449,945",8.17,3.61
13,현대모비스,"254,993","94,793",35.33,"171,373",11.54,4.66
14,삼성물산,"242,953","186,887",15.08,"186,141",14.83,3.81
15,크래프톤,"241,575","48,951",5.43,"341,559",42.49,61.86
16,LG전자,"232,380","163,648",30.81,"757,334",17.18,13.23
17,SK이노베이션,"229,315","92,466",23.38,"769,269",-51.38,-13.58
18,KB금융,"219,131","415,808",67.47,"1,093,745",5.20,8.53
19,SK텔레콤,"218,342","72,060",44.47,"173,523",11.50,6.44
20,LG생활건강,"217,561","15,618",45.15,"44,297",29.25,17.92
21,SK바이오사이언스,"214,200","76,500",4.97,"824,744",136.39,13.25
22,신한지주,"200,699","516,600",60.30,"1,022,216",5.03,8.20
23,SK,"194,194","70,360",19.38,"481,152",17.81,1.11
24,SK아이이테크놀로지,"166,123","71,298",9.42,"415,368",153.19,11.00
25,HMM,"155,671","405,392",9.61,"2,020,277",24.32,8.93
26,한국전력,"154,071","641,964",14.97,"2,180,339",12.92,2.91
27,LG,"150,537","157,301",33.44,"194,689",6.00,7.50
28,삼성생명,"148,200","200,000",13.06,"174,690",8.46,3.53
29,삼성전기,"137,436","74,694",32.95,"272,250",16.04,10.92
30,하나금융지주,"135,409","300,242",68.17,"981,420",4.45,8.96
31,삼성에스디에스,"131,155","77,378",11.63,"73,028",20.36,6.71
32,엔씨소프트,"130,846","21,954",46.38,"151,818",31.99,20.83
33,포스코케미칼,"125,103","77,463",7.89,"931,645",116.69,2.96
34,S-Oil,"113,709","112,583",78.05,"235,844",12.99,-13.07
35,대한항공,"113,216","347,821",11.94,"2,773,009",16.94,-7.22
36,아모레퍼시픽,"112,240","58,458",32.28,"340,866",89.10,0.78
37,KT&G,"111,756","137,292",37.16,"241,692",10.09,13.22
38,삼성화재,"109,910","47,375",48.83,"96,695",10.99,4.96
39,하이브,"109,147","39,051",16.73,"134,580",99.43,12.52
40,두산중공업,"108,619","516,006",9.62,"4,213,736",-50.00,-37.20
41,넷마블,"106,582","85,954",22.62,"98,134",37.25,6.35
42,고려아연,"97,935","18,870",19.93,"37,889",13.54,8.37
43,SK바이오팜,"88,494","78,313",6.58,"194,307",-149.47,-135.18
44,롯데케미칼,"87,060","34,275",26.45,"97,799",7.28,1.22
45,한온시스템,"86,209","533,800",18.09,"409,818",29.63,5.09
46,KT,"84,992","261,112",44.14,"560,294",9.29,4.76
47,한국조선해양,"83,158","70,773",18.66,"232,315",-5.37,-7.42
48,한화솔루션,"81,389","191,278",17.57,"993,773",10.55,5.30
49,우리금융지주,"80,087","728,061",28.37,"2,021,625",3.84,5.87
50,기업은행,"76,291","744,301",12.96,"1,031,546",4.30,6.44
51,LG디스플레이,"72,458","357,816",16.80,"1,613,420",6.09,-0.79
52,현대제철,"69,392","133,446",21.36,"845,781",28.73,-2.59
53,현대글로비스,"67,312","37,500",34.69,"95,143",9.98,12.45
54,SKC,"66,838","37,868",13.39,"315,236",153.48,2.21
55,CJ제일제당,"65,486","15,054",24.50,"43,445",15.16,13.50
56,LG유플러스,"63,964","436,611",33.42,"531,031",11.05,6.46
57,금호석유,"61,392","30,468",20.43,"161,181",4.77,20.18
58,현대건설,"60,800","111,356",21.24,"748,450",49.28,1.84
59,강원랜드,"60,331","213,940",19.52,"827,075",-64.09,-7.92
60,코웨이,"58,744","73,800",59.91,"128,750",13.79,31.51
61,F&F,"56,618","7,661",11.30,"39,563",N/A,N/A
62,한국타이어앤테크놀로지,"55,620","123,875",41.75,"167,900",9.01,5.12
63,미래에셋증권,"55,463","635,316",13.99,"812,182",6.63,8.94
64,현대중공업지주,"54,189","78,993",17.70,"189,496",-15.84,-8.12
65,삼성엔지니어링,"52,626","196,000",33.44,"19,609,743",16.67,17.32
66,오리온,"51,199","39,536",39.41,"298,236",21.24,15.50
67,LG이노텍,"51,003","23,667",28.50,"451,514",9.33,10.20
68,맥쿼리인프라,"50,606","404,846",14.47,"1,122,030",N/A,N/A
69,KODEX,0,"49,797","120,500",3.91,"2,909,690",N/A
70,에스디바이오센서,"49,467","103,271",2.37,"2,333,593",7.26,139.97
71,한국금융지주,"49,095","55,726",34.81,"201,758",4.19,16.27
72,한미사이언스,"47,921","67,305",1.44,"76,766",156.83,3.47
73,메리츠금융지주,"47,708","134,011",8.20,"324,278",7.71,16.06
74,이마트,"47,250","27,876",35.14,"101,124",8.37,4.05
75,유한양행,"45,762","69,973",17.87,"187,947",47.56,11.06
76,아모레G,"43,868","82,458",16.88,"108,288",33.89,0.31
77,DB손해보험,"43,754","70,800",42.90,"108,493",6.34,9.08
78,삼성증권,"43,668","89,300",30.10,"202,379",4.78,9.89
79,한진칼,"42,980","66,739",15.01,"84,345",-43.96,-19.55
80,쌍용C&E,"42,727","503,860",3.80,"623,584",27.35,7.92
81,녹십자,"42,422","11,687",21.38,"87,901",45.39,7.48
82,두산밥캣,"41,854","100,249",25.69,"114,283",10.98,6.15
83,삼성중공업,"41,832","630,000",14.64,"6,264,101",-2.72,-33.06
84,KCC,"40,478","8,886",13.27,"38,104",4.74,12.79
85,GS,"39,954","92,915",19.29,"193,815",4.89,-2.82
86,삼성카드,"39,624","115,859",8.20,"91,065",8.65,5.69
87,팬오션,"39,451","534,570",12.01,"3,127,142",22.64,3.25
88,CJ대한통운,"38,895","22,812",23.00,"25,734",111.73,3.89
89,한솔케미칼,"38,710","11,335",41.46,"112,541",27.19,24.50
90,일진머티리얼즈,"38,687","46,111",10.37,"769,560",81.30,7.23
91,GS건설,"38,512","85,581",26.42,"583,902",11.87,7.68
92,NH투자증권,"37,709","281,409",18.69,"385,851",4.77,10.32
93,한국가스공사,"37,664","92,313",6.66,"1,971,262",14.95,-2.24
94,롯데지주,"37,138","104,909",8.26,"86,352",50.57,-3.03
95,메리츠화재,"36,670","120,625",10.94,"356,768",6.94,16.91
96,한미약품,"36,597","12,078",13.05,"13,720",158.47,1.65
97,현대차2우B,"36,376","36,485",60.92,"55,699",7.22,N/A
98,메리츠증권,"36,064","681,731",14.27,"2,266,725",5.64,13.08
99,신풍제약,"35,818","52,985",8.06,"561,628","1,126.67",1.72
100,GS리테일,"35,709","104,718",10.12,"185,971",18.72,7.50
101,한화시스템,"35,517","188,919",3.20,"2,465,544",20.39,9.35
102,호텔신라,"35,245","39,248",17.85,"312,926",-27.31,-36.74
103,SK케미칼,"35,078","11,751",16.80,"251,678",37.92,30.49
104,OCI,"33,866","23,849",19.25,"253,325",116.97,-9.89
105,효성첨단소재,"33,734","4,480",13.49,"91,200",22.95,0.03
106,두산퓨얼셀,"33,402","65,494",13.36,"450,529",850.00,4.18
107,에스원,"32,603","37,999",53.86,"35,394",22.25,10.48
108,효성티앤씨,"32,371","4,328",23.19,"26,602",6.40,25.10
109,씨에스윈드,"31,839","42,171",11.15,"221,931",53.55,8.19
110,대우조선해양,"31,812","107,291",7.05,"395,109",-2.19,2.27
111,더존비즈온,"31,706","30,341",41.14,"253,548",50.93,15.09
112,키움증권,"31,332","26,220",24.51,"46,791",3.21,27.63
113,BGF리테일,"31,025","17,284",33.11,"30,993",22.11,18.60
114,한국항공우주,"30,705","97,475",13.28,"198,784",155.94,6.39
115,CJ,"30,636","29,177",17.72,"70,411",71.77,1.89
116,현대미포조선,"30,636","39,942",11.22,"186,032",-16.86,-0.84
117,롯데쇼핑,"30,552","28,289",10.42,"47,479",-5.28,-7.70
118,동서,"29,960","99,700",3.29,"69,958",27.72,8.61
