,1위,2위,3위
0,하이브,SBS,제일기획
1,LG이노텍,솔루엠,엠씨넥스
2,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
3,DL건설,코오롱글로벌,LX인터내셔널
4,일진하이솔루스,현대모비스,대상
5,금호석유,롯데정밀화학,유니드
6,하나투어,삼성전자,SK하이닉스
7,삼성전자,DB하이텍,금호석유
8,DL건설,LX인터내셔널,코오롱글로벌
9,SK하이닉스,DB하이텍,LG전자
10,LG전자,대상,LG디스플레이
11,LG이노텍,삼성전기,솔루엠
12,크래프톤,다우기술,더블유게임즈
13,DL건설,BGF리테일,코오롱글로벌
14,크래프톤,LG전자,다우기술
15,엠씨넥스,솔루엠,LG이노텍
16,에스디바이오센서,다우기술,동원산업
17,LG전자,금호석유,롯데정밀화학
18,대상,동원산업,KT&G
19,일진하이솔루스,현대모비스,기아
20,동아쏘시오홀딩스,에스디바이오센서,SK바이오사이언스
21,에스디바이오센서,다우기술,동원산업
22,에스디바이오센서,다우기술,동원산업
23,DL건설,코오롱글로벌,LX인터내셔널
24,금호석유,롯데정밀화학,유니드
25,LG이노텍,솔루엠,엠씨넥스
26,SK바이오사이언스,동아쏘시오홀딩스,SK바이오팜
27,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
28,SK디스커버리,DL건설,S-Oil
29,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
30,LG전자,대상,DL건설
31,크래프톤,다우기술,더블유게임즈
32,LG전자,DL건설,SK아이이테크놀로지
33,일진하이솔루스,한국타이어앤테크놀로지,한국단자
34,에스디바이오센서,다우기술,동원산업
35,동아쏘시오홀딩스,프레스티지바이오파마,종근당
36,엠씨넥스,솔루엠,LG이노텍
37,LG전자,SK아이이테크놀로지,동아쏘시오홀딩스
38,SK하이닉스,LG전자,대상
39,LG전자,SK바이오사이언스,동아쏘시오홀딩스
40,크래프톤,하이브,SBS
41,LG전자,대상,DL건설
42,금호석유,롯데정밀화학,유니드
43,현대글로비스,제주항공,롯데렌탈
44,LG전자,SK아이이테크놀로지,삼화콘덴서
45,LG이노텍,솔루엠,삼성전기
46,DL건설,금호석유,LX인터내셔널
47,SK바이오사이언스,동아쏘시오홀딩스,SK바이오팜
48,금호석유,LG이노텍,솔루엠
49,일진하이솔루스,현대모비스,한국타이어앤테크놀로지
50,LG이노텍,솔루엠,엠씨넥스
51,LG전자,대상,DL건설
52,LG전자,대상,LG디스플레이
53,SK하이닉스,DB하이텍,해성디에스
54,DL건설,LX인터내셔널,코오롱글로벌
55,코웨이,쿠쿠홈시스,한국콜마
56,DL건설,금호석유,LX인터내셔널
57,에스디바이오센서,다우기술,동원산업
58,SK하이닉스,DB하이텍,해성디에스
59,금호석유,롯데정밀화학,효성화학
60,LG전자,대상,DL건설
61,금호석유,롯데정밀화학,유니드
62,크래프톤,LG디스플레이,다우기술
63,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
64,LG전자,대상,삼성전자
65,동아쏘시오홀딩스,프레스티지바이오파마,종근당
66,크래프톤,다우기술,더블유게임즈
67,DL건설,SK가스,LX인터내셔널
68,코웨이,쿠쿠홈시스,한국콜마
69,삼성전기,LG전자,솔루엠
70,크래프톤,SK바이오사이언스,동아쏘시오홀딩스
71,LG전자,HMM,제주항공
72,LG전자,LG디스플레이,대상
73,현대글로비스,제주항공,롯데렌탈
74,LG이노텍,삼성전자,대상
75,에스디바이오센서,다우기술,동원산업
76,일진하이솔루스,기아,한국타이어앤테크놀로지
77,금호석유,롯데정밀화학,유니드
78,동아쏘시오홀딩스,프레스티지바이오파마,종근당
79,크래프톤,다우기술,더블유게임즈
80,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
81,대상,CJ제일제당,동원산업
82,대상,DL건설,크래프톤
83,LG전자,대상,LG디스플레이
