,1위,2위,3위
0,에스디바이오센서,다우기술,동원산업
1,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
2,LG전자,대상,삼성전자
3,동아쏘시오홀딩스,프레스티지바이오파마,종근당
4,LG전자,대상,삼성전자
5,현대글로비스,제주항공,롯데렌탈
6,일진하이솔루스,기아,한국타이어앤테크놀로지
7,SK하이닉스,금호석유,LG전자
8,LG전자,SK이노베이션,GS
9,크래프톤,DL건설,LG이노텍
10,키움증권,LG전자,SK가스
11,DL건설,LG,코오롱글로벌
12,SK하이닉스,DB하이텍,해성디에스
13,SK하이닉스,DB하이텍,대상
14,LG전자,대상,LG디스플레이
15,DL건설,코오롱글로벌,LX인터내셔널
16,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
17,금호석유,롯데정밀화학,유니드
18,LG이노텍,솔루엠,엠씨넥스
19,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
20,에스디바이오센서,다우기술,동원산업
21,SBS,하이브,제일기획
22,코웨이,금호석유,쿠쿠홈시스
23,DL건설,LX인터내셔널,코오롱글로벌
24,일진하이솔루스,SK하이닉스,현대모비스
25,SK바이오사이언스,동아쏘시오홀딩스,LG전자
26,금호석유,SK하이닉스,LG전자
27,SK하이닉스,DL건설,DB하이텍
28,금호석유,롯데정밀화학,유니드
29,현대글로비스,제주항공,롯데렌탈
30,LG전자,대상,DL건설
31,금호석유,크래프톤,롯데정밀화학
32,LG전자,대상,DL건설
33,LG전자,SK아이이테크놀로지,대상
34,LG디스플레이,삼성전자,SK하이닉스
35,LG전자,대상,삼성전자
36,DB하이텍,해성디에스,한미반도체
37,SK하이닉스,DB하이텍,해성디에스
38,DL건설,코오롱글로벌,LX인터내셔널
39,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
40,LG전자,대상,삼성전자
41,DL건설,LG이노텍,솔루엠
42,LG전자,대상,LG디스플레이
43,금호석유,롯데정밀화학,유니드
44,솔루엠,엠씨넥스,삼성전기
45,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
46,SK하이닉스,DB하이텍,해성디에스
47,SK하이닉스,동아쏘시오홀딩스,LG전자
48,SK하이닉스,DB하이텍,해성디에스
49,에스디바이오센서,덴티움,LG전자
50,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
51,금호석유,롯데정밀화학,LG전자
52,LG이노텍,솔루엠,엠씨넥스
53,LG전자,LG이노텍,솔루엠
54,에스디바이오센서,다우기술,동원산업
55,금호석유,LG전자,롯데정밀화학
56,SK하이닉스,LG전자,SK바이오사이언스
57,LG전자,SK아이이테크놀로지,삼화콘덴서
58,에스디바이오센서,다우기술,동원산업
59,LG전자,대상,LG디스플레이
60,SK아이이테크놀로지,삼화콘덴서,삼성SDI
61,금호석유,롯데정밀화학,유니드
62,금호석유,롯데정밀화학,유니드
63,동아쏘시오홀딩스,프레스티지바이오파마,종근당
64,LG전자,대상,삼성전자
65,LG전자,대상,하나투어
66,SK디스커버리,S-Oil,SK이노베이션
67,에스디바이오센서,다우기술,동원산업
68,SK바이오사이언스,동아쏘시오홀딩스,삼성전자
69,LG이노텍,솔루엠,엠씨넥스
70,DL건설,LX인터내셔널,엠씨넥스
71,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
72,크래프톤,다우기술,더블유게임즈
73,SK하이닉스,LG전자,DB하이텍
74,DL건설,대상,에스디바이오센서
75,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
76,SK하이닉스,SK바이오사이언스,동아쏘시오홀딩스
77,LG전자,대상,SBS
78,SK하이닉스,삼성전자,DB하이텍
79,동아쏘시오홀딩스,SK바이오팜,종근당
80,삼성전자,DB하이텍,해성디에스
81,현대모비스,기아,일진하이솔루스
82,LG이노텍,삼성전기,솔루엠
83,LG전자,대상,DL건설
84,삼성전자,DB하이텍,LG전자
85,대상,SK디스커버리,GS
86,금호석유,롯데정밀화학,유니드
87,LG전자,대상,DL건설
88,LG전자,크래프톤,대상
89,삼성전자,SK하이닉스,DB하이텍
90,LG전자,SK아이이테크놀로지,삼성전자
91,DL건설,LG,코오롱글로벌
92,금호석유,DL건설,롯데정밀화학
93,대상,CJ제일제당,동원산업
94,DL건설,코오롱글로벌,LX인터내셔널
95,에스디바이오센서,덴티움,LG전자
96,LG전자,LG이노텍,솔루엠
97,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
98,대상,하나투어,DL건설
99,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
100,에스디바이오센서,LG전자,코웨이
101,LG전자,대상,LG디스플레이
102,LG전자,대상,삼성전자
103,LG전자,대상,DL건설
104,동아쏘시오홀딩스,프레스티지바이오파마,종근당
105,SBS,제일기획,대상
106,DL건설,크래프톤,코오롱글로벌
107,SK바이오사이언스,동아쏘시오홀딩스,SK바이오팜
108,삼성전자,SK하이닉스,LG전자
109,DL건설,대상,에스디바이오센서
110,LG디스플레이,대상,DL건설
111,SK하이닉스,LG전자,대상
112,SK하이닉스,DB하이텍,해성디에스
113,크래프톤,다우기술,코웨이
114,삼성전자,SK하이닉스,LG전자
115,일진하이솔루스,LG디스플레이,한국타이어앤테크놀로지
116,삼성전자,SK하이닉스,DB하이텍
117,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
118,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
119,SK디스커버리,SK이노베이션,LG전자
120,에스디바이오센서,다우기술,동원산업
121,LG전자,대상,DL건설
122,DL건설,LX인터내셔널,코오롱글로벌
123,동아쏘시오홀딩스,SK바이오팜,종근당
124,에스디바이오센서,엠씨넥스,LG이노텍
125,LG전자,대상,DL건설
126,DL건설,대상,에스디바이오센서
127,삼성전자,SK하이닉스,동아쏘시오홀딩스
128,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
129,크래프톤,LG이노텍,솔루엠
130,크래프톤,LG전자,DL건설
131,DL건설,DB하이텍,금호석유
132,하이브,SBS,제일기획
133,코웨이,쿠쿠홈시스,금호석유
134,DL건설,금호석유,롯데정밀화학
135,에스디바이오센서,동아쏘시오홀딩스,SK바이오사이언스
136,동아쏘시오홀딩스,프레스티지바이오파마,종근당
137,SK하이닉스,DL건설,코오롱글로벌
138,LG전자,대상,LG디스플레이
139,LG이노텍,SK하이닉스,솔루엠
140,SK하이닉스,DB하이텍,해성디에스
141,BGF리테일,SK디스커버리,LG전자
142,금호석유,롯데정밀화학,유니드
143,SK하이닉스,DB하이텍,LG전자
144,DL건설,LX인터내셔널,금호석유
145,DL건설,동아쏘시오홀딩스,LX인터내셔널
146,엠씨넥스,솔루엠,LG이노텍
147,SK디스커버리,동아쏘시오홀딩스,SK바이오사이언스
148,DL건설,LG,코오롱글로벌
149,에스디바이오센서,덴티움,LG전자
150,현대글로비스,제주항공,롯데렌탈
151,동아쏘시오홀딩스,프레스티지바이오파마,크래프톤
152,DB하이텍,해성디에스,LG전자
153,SK하이닉스,LG전자,대상
154,LG전자,에스디바이오센서,대상
155,DB하이텍,DL건설,해성디에스
156,크래프톤,LG전자,다우기술
157,LG전자,대상,삼성전자
158,LG이노텍,솔루엠,엠씨넥스
159,금호석유,롯데정밀화학,효성화학
160,크래프톤,LG이노텍,엠씨넥스
161,LG전자,대상,LG디스플레이
162,하이브,SBS,제일기획
163,SK하이닉스,해성디에스,LG전자
164,크래프톤,일진하이솔루스,현대모비스
165,LG전자,대상,DL건설
166,SK가스,한국전력,한국가스공사
167,LG전자,대상,현대모비스
168,현대글로비스,제주항공,롯데렌탈
169,동아쏘시오홀딩스,DL건설,SK바이오사이언스
170,LG전자,대상,DL건설
171,금호석유,롯데정밀화학,DL건설
172,LG전자,대상,삼성전자
173,LG전자,대상,DL건설
174,BGF리테일,엠씨넥스,솔루엠
175,DL건설,LX인터내셔널,한일시멘트
176,LG전자,대상,DL건설
177,크래프톤,SK하이닉스,SK바이오사이언스
178,에스디바이오센서,다우기술,동원산업
179,SK하이닉스,LG전자,대상
180,DB하이텍,해성디에스,한미반도체
