,1위,2위,3위
0,LG이노텍,삼성전기,LG전자
1,현대글로비스,LG전자,대상
2,LG전자,대상,삼성전자
3,BGF리테일,GS리테일,DL건설
4,LG전자,대상,DL건설
5,LG이노텍,삼성전기,엠씨넥스
6,LG전자,대상,현대글로비스
7,LG전자,대상,삼성전자
8,DL건설,LG,대상
9,DL건설,일진하이솔루스,LG전자
10,DL건설,코오롱글로벌,LX인터내셔널
11,LG전자,LG이노텍,솔루엠
12,LG전자,금호석유,대상
13,에스디바이오센서,SK바이오사이언스,동아쏘시오홀딩스
14,에스디바이오센서,다우기술,동원산업
15,금호석유,롯데정밀화학,LG디스플레이
16,SK하이닉스,DB하이텍,해성디에스
17,크래프톤,다우기술,하이브
18,코웨이,쿠쿠홈시스,한국콜마
19,에스디바이오센서,다우기술,동원산업
20,SK하이닉스,삼성전자,DB하이텍
21,LG전자,대상,DL건설
22,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
23,LG전자,대상,DL건설
24,DL건설,LX인터내셔널,코오롱글로벌
25,동아쏘시오홀딩스,LG전자,대상
26,SBS,제일기획,LG헬로비전
27,SBS,하이브,제일기획
28,대상,DL건설,크래프톤
29,대상,동원산업,금호석유
30,BGF리테일,SK하이닉스,GS리테일
31,SK하이닉스,동아쏘시오홀딩스,프레스티지바이오파마
32,에스디바이오센서,다우기술,동원산업
33,DL건설,코오롱글로벌,LX인터내셔널
34,LG디스플레이,LG전자,금호석유
35,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
36,LG전자,대상,DL건설
37,동아쏘시오홀딩스,프레스티지바이오파마,종근당
38,SK하이닉스,LG전자,대상
39,LG전자,대상,DL건설
40,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
41,BGF리테일,SK하이닉스,GS리테일
42,SK하이닉스,엠씨넥스,솔루엠
43,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
44,엠씨넥스,솔루엠,삼성전기
45,SK하이닉스,DB하이텍,LG전자
46,LG전자,대상,DL건설
47,엠씨넥스,솔루엠,LG이노텍
48,LG전자,대상,DL건설
49,SK하이닉스,금호석유,롯데정밀화학
50,LG디스플레이,BGF리테일,대상
51,대상,동원산업,CJ제일제당
52,DB하이텍,해성디에스,LG전자
53,DL건설,코오롱글로벌,LX인터내셔널
54,크래프톤,다우기술,더블유게임즈
55,LG전자,SK아이이테크놀로지,삼화콘덴서
56,SK디스커버리,LG디스플레이,엠씨넥스
57,SK바이오사이언스,LG이노텍,동아쏘시오홀딩스
58,LG이노텍,삼성전기,솔루엠
59,LG이노텍,솔루엠,엠씨넥스
60,LG이노텍,솔루엠,엠씨넥스
61,LG디스플레이,DB하이텍,LG전자
62,크래프톤,다우기술,일진하이솔루스
63,LG이노텍,삼성전기,솔루엠
64,LG전자,대상,DL건설
65,LG전자,대상,DL건설
66,삼성전자,LG전자,SK바이오사이언스
67,BGF리테일,GS리테일,현대홈쇼핑
68,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
69,SK하이닉스,DB하이텍,해성디에스
70,금호석유,일진하이솔루스,롯데정밀화학
71,LG전자,대상,삼성전자
72,DL건설,대상,에스디바이오센서
73,DL건설,코오롱글로벌,LX인터내셔널
74,에스디바이오센서,다우기술,동원산업
75,삼성전자,SK하이닉스,LG전자
76,금호석유,롯데정밀화학,유니드
77,에스디바이오센서,다우기술,동원산업
78,DL건설,SK하이닉스,코오롱글로벌
79,LG이노텍,솔루엠,엠씨넥스
80,금호석유,롯데정밀화학,유니드
81,SK하이닉스,DB하이텍,해성디에스
82,DL건설,LG,코오롱글로벌
83,LG전자,대상,LG디스플레이
84,LG전자,대상,DL건설
85,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
86,금호석유,롯데정밀화학,크래프톤
87,크래프톤,다우기술,더블유게임즈
88,DL건설,LX인터내셔널,코오롱글로벌
89,일진하이솔루스,현대모비스,기아
90,LG이노텍,솔루엠,엠씨넥스
91,SK하이닉스,DB하이텍,해성디에스
92,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
93,동아쏘시오홀딩스,SK바이오사이언스,종근당
94,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
95,크래프톤,다우기술,DL건설
96,LG전자,대상,DL건설
97,금호석유,SK바이오사이언스,롯데정밀화학
98,동아쏘시오홀딩스,프레스티지바이오파마,종근당
99,SK하이닉스,금호석유,LG전자
100,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
101,SK하이닉스,DB하이텍,해성디에스
