,1위,2위,3위
0,금호석유,크래프톤,삼성전자
1,코웨이,쿠쿠홈시스,크래프톤
2,SK바이오사이언스,동아쏘시오홀딩스,크래프톤
3,SK바이오사이언스,동아쏘시오홀딩스,SK바이오팜
4,금호석유,롯데정밀화학,유니드
5,LG전자,대상,DL건설
6,SK하이닉스,LG전자,대상
7,DL건설,대상,코오롱글로벌
8,LG전자,대상,LG디스플레이
9,대상,DL건설,CJ제일제당
10,LG전자,대상,DL건설
11,동아쏘시오홀딩스,SK바이오사이언스,종근당
12,크래프톤,동아쏘시오홀딩스,다우기술
13,금호석유,LG전자,롯데정밀화학
14,SK하이닉스,DB하이텍,해성디에스
15,LG전자,대상,DL건설
16,LG전자,대상,LG디스플레이
17,SK하이닉스,DB하이텍,해성디에스
18,DL건설,LG이노텍,솔루엠
19,LG전자,대상,크래프톤
20,크래프톤,다우기술,금호석유
21,LG이노텍,솔루엠,엠씨넥스
22,GS,LG전자,S-Oil
23,LG전자,SK바이오사이언스,동아쏘시오홀딩스
24,에스디바이오센서,다우기술,동원산업
25,LG전자,대상,삼성전자
26,하이브,SBS,제일기획
27,SK하이닉스,DL건설,LG전자
28,DL건설,LX인터내셔널,금호석유
29,DL건설,코오롱글로벌,LX인터내셔널
30,대상,CJ제일제당,동원산업
31,LG전자,대상,삼성전자
32,LG전자,대상,삼성전자
33,LG전자,대상,LG디스플레이
34,LG전자,대상,DL건설
35,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
36,DB하이텍,해성디에스,한미반도체
37,크래프톤,다우기술,더블유게임즈
38,SK하이닉스,DB손해보험,DB하이텍
39,우리종금,삼성카드,LG전자
40,금호석유,롯데정밀화학,유니드
41,LG전자,대상,DL건설
42,LG전자,SK아이이테크놀로지,SK하이닉스
43,현대글로비스,제주항공,롯데렌탈
44,LG전자,대상,DL건설
45,에스디바이오센서,다우기술,동원산업
46,DL건설,대상,에스디바이오센서
47,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
48,크래프톤,DL건설,LG
49,SK하이닉스,키움증권,LG전자
50,대상,DL건설,크래프톤
51,LG전자,대상,DL건설
52,에스디바이오센서,다우기술,동원산업
53,LG전자,대상,LG디스플레이
54,LG전자,대상,삼성전자
55,금호석유,롯데정밀화학,LG이노텍
56,DL건설,코오롱글로벌,LX인터내셔널
57,동아쏘시오홀딩스,SK바이오팜,종근당
58,LG전자,대상,삼성전자
59,LG전자,대상,삼성전자
60,LG전자,대상,DL건설
61,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
62,동아쏘시오홀딩스,SK바이오팜,종근당
63,DL건설,금호석유,코오롱글로벌
64,동아쏘시오홀딩스,SK바이오팜,종근당
65,LG전자,대상,DL건설
66,LG전자,대상,DL건설
67,엠씨넥스,솔루엠,LG이노텍
68,삼성전자,SK하이닉스,LG전자
69,LG디스플레이,LG전자,금호석유
70,일진하이솔루스,기아,한국타이어앤테크놀로지
71,LG전자,동아쏘시오홀딩스,SK바이오사이언스
72,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
73,크래프톤,다우기술,코웨이
74,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
75,SK하이닉스,금호석유,LG전자
76,LG전자,대상,DL건설
77,LG전자,대상,DL건설
78,LG이노텍,삼성전기,솔루엠
79,SK하이닉스,DB하이텍,해성디에스
80,LG전자,대상,DL건설
81,동아쏘시오홀딩스,SK바이오팜,셀트리온
82,현대글로비스,제주항공,롯데렌탈
83,에스디바이오센서,SK하이닉스,LG전자
84,SK하이닉스,LG전자,DB하이텍
85,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
86,하이브,SBS,제일기획
87,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
88,에스디바이오센서,다우기술,동원산업
89,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
90,LG전자,대상,DL건설
91,SK디스커버리,S-Oil,GS
92,동아쏘시오홀딩스,프레스티지바이오파마,종근당
93,대상,CJ제일제당,동원산업
94,SK하이닉스,LG전자,DL건설
95,LG이노텍,LG전자,솔루엠
96,SK하이닉스,LG전자,대상
97,에스디바이오센서,다우기술,동원산업
98,에스디바이오센서,다우기술,동원산업
99,LG전자,대상,DL건설
100,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
101,LG디스플레이,KT,LG전자
102,하나금융지주,기업은행,JB금융지주
103,크래프톤,다우기술,더블유게임즈
104,DL건설,LX인터내셔널,코오롱글로벌
105,LG전자,SK하이닉스,대상
106,금호석유,하이브,LG전자
107,크래프톤,다우기술,더블유게임즈
108,LG전자,대상,삼성전자
109,LG디스플레이,DL건설,대상
110,SK하이닉스,키움증권,DB하이텍
111,SK디앤디,LG전자,대상
112,동아쏘시오홀딩스,SK바이오팜,셀트리온
113,LG전자,대상,LG디스플레이
114,SK하이닉스,DB하이텍,LG전자
115,DB하이텍,LG전자,대상
116,금호석유,LG전자,대상
117,DL건설,LX인터내셔널,코오롱글로벌
118,DL건설,코오롱글로벌,LX인터내셔널
119,SK아이이테크놀로지,삼성SDI,대상
120,SK하이닉스,DB하이텍,해성디에스
121,DL건설,대상,코오롱글로벌
122,LG전자,대상,DL건설
123,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
124,LG전자,크래프톤,삼화콘덴서
125,DL건설,LG,코오롱글로벌
126,금호석유,롯데정밀화학,효성화학
127,금호석유,롯데정밀화학,코웨이
128,에스원,NICE,LG전자
129,크래프톤,다우기술,더블유게임즈
130,대상,LG디스플레이,DL건설
131,금호석유,롯데정밀화학,유니드
132,LG전자,대상,DL건설
133,금호석유,롯데정밀화학,유니드
134,크래프톤,LG전자,하이브
135,SK하이닉스,DB하이텍,해성디에스
136,LG전자,대상,LG디스플레이
137,에스디바이오센서,다우기술,동원산업
138,DL건설,코오롱글로벌,LX인터내셔널
139,대상,LG전자,LG이노텍
140,에스디바이오센서,다우기술,동원산업
141,LG전자,대상,DL건설
142,DL건설,코오롱글로벌,LX인터내셔널
143,코웨이,SK하이닉스,쿠쿠홈시스
144,SK하이닉스,DB하이텍,해성디에스
145,현대글로비스,제주항공,롯데렌탈
146,LG전자,대상,LG디스플레이
147,에스디바이오센서,다우기술,동원산업
148,DB하이텍,해성디에스,한미반도체
149,금호석유,롯데정밀화학,유니드
150,동아쏘시오홀딩스,프레스티지바이오파마,종근당
151,삼성전자,SK하이닉스,DB하이텍
152,LG이노텍,BGF리테일,솔루엠
153,LG전자,대상,LG디스플레이
154,금호석유,하이브,롯데정밀화학
155,DB하이텍,해성디에스,DL건설
156,DL건설,코오롱글로벌,LX인터내셔널
157,DL건설,코오롱글로벌,LX인터내셔널
158,DB하이텍,해성디에스,한미반도체
159,코웨이,쿠쿠홈시스,한국콜마
160,LG전자,대상,DL건설
161,금호석유,SK바이오사이언스,LG디스플레이
162,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
163,LG전자,엠씨넥스,솔루엠
164,LG전자,대상,LG디스플레이
165,크래프톤,다우기술,더블유게임즈
166,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
167,삼성전자,DB하이텍,해성디에스
168,에스디바이오센서,다우기술,동원산업
169,LG전자,대상,DL건설
170,SK하이닉스,DB하이텍,해성디에스
171,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
172,SK바이오사이언스,프레스티지바이오파마,종근당
173,에스디바이오센서,덴티움,LG전자
174,DL건설,코오롱글로벌,LX인터내셔널
175,엠씨넥스,솔루엠,LG이노텍
176,LG전자,금호석유,롯데정밀화학
177,코웨이,쿠쿠홈시스,한국콜마
178,LG전자,대상,DL건설
179,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
180,동아쏘시오홀딩스,프레스티지바이오파마,종근당
181,LG전자,대상,DL건설
182,SK하이닉스,DB하이텍,해성디에스
183,금호석유,롯데정밀화학,유니드
184,LG전자,대상,DL건설
185,DL건설,코오롱글로벌,LX인터내셔널
186,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
187,에스디바이오센서,다우기술,동원산업
188,LG이노텍,솔루엠,엠씨넥스
189,DL건설,대상,코오롱글로벌
190,DL건설,코오롱글로벌,LX인터내셔널
191,LG전자,대상,DL건설
192,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
193,동아쏘시오홀딩스,프레스티지바이오파마,종근당
194,SK바이오사이언스,동아쏘시오홀딩스,DL건설
195,삼성전자,대상,SK아이이테크놀로지
196,SK디스커버리,SK이노베이션,GS
197,크래프톤,다우기술,더블유게임즈
198,LG이노텍,코웨이,대상
199,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
200,SK아이이테크놀로지,크래프톤,삼화콘덴서
201,LG이노텍,삼성전기,솔루엠
202,LG전자,대상,DL건설
203,하이브,SBS,제일기획
204,우리종금,동아쏘시오홀딩스,DL건설
205,동아쏘시오홀딩스,엠씨넥스,솔루엠
206,동아쏘시오홀딩스,LG전자,SK바이오팜
207,동아쏘시오홀딩스,SK바이오팜,종근당
208,금호석유,삼성전자,SK하이닉스
209,SK하이닉스,크래프톤,DL건설
210,SK하이닉스,DB하이텍,LG전자
211,에스디바이오센서,다우기술,동원산업
212,크래프톤,LG전자,대상
213,SK하이닉스,DB하이텍,해성디에스
214,SK하이닉스,에스디바이오센서,LG전자
215,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
216,대상,CJ제일제당,동원산업
217,삼성전자,SK하이닉스,DB하이텍
218,금호석유,LG전자,대상
219,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
220,DL건설,금호석유,LX인터내셔널
221,LG이노텍,솔루엠,엠씨넥스
222,에스디바이오센서,다우기술,동원산업
223,DL건설,대상,에스디바이오센서
224,일진하이솔루스,현대모비스,한국타이어앤테크놀로지
225,LG전자,대상,LG디스플레이
226,대상,CJ제일제당,동원산업
227,SK바이오사이언스,LG전자,동아쏘시오홀딩스
228,SK하이닉스,삼성전자,DB하이텍
229,대상,DL건설,동원산업
230,SK바이오사이언스,동아쏘시오홀딩스,금호석유
231,금호석유,롯데정밀화학,유니드
232,LG전자,대상,LG디스플레이
233,SK바이오사이언스,동아쏘시오홀딩스,SK바이오팜
234,LG디스플레이,동아쏘시오홀딩스,SK바이오사이언스
235,SK하이닉스,DB하이텍,해성디에스
236,크래프톤,다우기술,SK바이오사이언스
237,하이브,SBS,제일기획
238,LG전자,대상,삼성전자
239,LG전자,대상,DL건설
240,LG이노텍,삼성전기,엠씨넥스
241,코웨이,LG전자,쿠쿠홈시스
242,LG전자,대상,삼성전자
243,코웨이,쿠쿠홈시스,한국콜마
244,LG전자,대상,삼성전자
245,금호석유,롯데정밀화학,유니드
246,동아쏘시오홀딩스,SK바이오팜,셀트리온
247,LG전자,대상,DL건설
248,SK하이닉스,DB하이텍,크래프톤
249,DL건설,대상,에스디바이오센서
250,하이브,SBS,제일기획
251,SK하이닉스,LG디스플레이,LG전자
252,SK디스커버리,S-Oil,SK이노베이션
253,LG전자,대상,현대모비스
254,엠씨넥스,솔루엠,LG이노텍
255,SK하이닉스,DB하이텍,해성디에스
256,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
257,삼성전자,SK하이닉스,DL건설
258,SK디스커버리,크래프톤,다우기술
259,SK바이오사이언스,DL건설,동아쏘시오홀딩스
260,DL건설,대상,에스디바이오센서
261,DL건설,코오롱글로벌,LX인터내셔널
262,LG전자,대상,DL건설
263,엠씨넥스,솔루엠,LG이노텍
264,크래프톤,코웨이,다우기술
265,LG전자,대상,DL건설
266,SK하이닉스,대상,SK바이오사이언스
267,SK하이닉스,DB하이텍,금호석유
268,SK하이닉스,DB하이텍,해성디에스
269,크래프톤,다우기술,더블유게임즈
270,다우기술,크래프톤,더블유게임즈
271,LG전자,대상,DL건설
272,크래프톤,다우기술,에스디바이오센서
273,DL건설,코오롱글로벌,LX인터내셔널
274,DL건설,코오롱글로벌,LX인터내셔널
275,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
276,DL건설,대상,에스디바이오센서
277,LG전자,대상,LG디스플레이
278,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
279,크래프톤,다우기술,더블유게임즈
280,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
281,SK하이닉스,DB하이텍,해성디에스
282,LG전자,대상,DL건설
283,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
284,LG이노텍,솔루엠,엠씨넥스
285,LG전자,대상,DL건설
286,금호석유,롯데정밀화학,유니드
287,LG전자,대상,삼성전자
288,일진하이솔루스,현대모비스,기아
289,LG전자,대상,LG디스플레이
290,DL건설,코오롱글로벌,LX인터내셔널
291,키움증권,삼성증권,LG전자
292,현대글로비스,LG전자,대상
293,금호석유,솔루엠,엠씨넥스
294,SK하이닉스,동아쏘시오홀딩스,프레스티지바이오파마
